Station,utm_y,utm_x,Setup_date,Retrieval_date,Problem1_from,Problem1_to
GC_BM27Y1,26.14671612,-81.59124066,2/6/2020,8/1/2020,4/1/2020,6/12/2020
GC_BM29Y1,26.14037755,-81.62047906,2/11/2020,8/1/2020,,
GC_BM43Y1,26.04632601,-81.57560746,1/31/2020,7/7/2020,,
GC_BM48Y1,26.10073033,-81.60487601,2/2/2020,7/5/2020,4/4/2020,6/16/2020
GC_CS186Y1,25.97998,-81.579477,2/21/2020,8/16/2020,5/6/2020,6/23/2020
GC_CS189Y1,25.992888,-81.585406,2/21/2020,7/18/2020,4/29/2020,6/23/2020
GC_FP69Y1,26.18588147,-81.45572739,2/12/2020,8/8/2020,4/19/2020,6/18/2020
GC_FP79Y1,26.1744418,-81.44631747,2/12/2020,7/3/2020,5/13/2020,6/18/2020
GC_FS116Y1,25.99781,-81.41396,2/18/2020,7/25/2020,,
GC_FS118Y1,26.11091395,-81.42745225,3/4/2020,7/30/2020,4/23/2020,6/12/2020
GC_FS129Y1,26.10006495,-81.42875592,3/3/2020,7/30/2020,,
GC_FS133Y1,26.08992868,-81.40037698,3/6/2020,6/27/2020,5/20/2020,5/31/2020
GC_FS142Y1,26.04172755,-81.42772903,2/4/2020,7/20/2020,,
GC_FS151Y1,26.007467,-81.408361,2/4/2020,7/23/2020,,
GC_FS155Y1,26.11526031,-81.42809423,3/4/2020,7/30/2020,5/13/2020,6/16/2020
GC_FS168Y1,25.976674,-81.396531,2/23/2020,7/20/2020,,
GC_FS177Y1,26.04267823,-81.41307821,2/13/2020,7/20/2020,,
GC_FS178Y1,26.04379154,-81.41946288,2/8/2020,7/19/2020,6/6/2020,6/8/2020
GC_FS181Y1,25.98123926,-81.42894903,3/3/2020,7/20/2020,,
GC_FS43Y1,26.002825,-81.448726,3/3/2020,7/16/2020,,
GC_FS93Y1,25.986812,-81.391248,2/19/2020,7/17/2020,,
GC_PS07Y1,26.146942,-81.50115,1/28/2020,8/16/2020,3/23/2020,6/7/2020
GC_PS0Y1,26.03816798,-81.52800567,1/31/2020,8/15/2020,4/12/2020,6/29/2020
GC_PS10Y1,26.02592196,-81.5548839,1/31/2020,8/17/2020,,
GC_PS11Y1,26.00356,-81.52341,2/3/2020,8/5/2020,5/1/2020,6/21/2020
GC_PS123Y1,26.02559722,-81.50887386,2/3/2020,6/29/2020,4/2/2020,6/17/2020
GC_PS127Y1,26.09871689,-81.50639741,1/27/2020,8/14/2020,3/26/2020,6/7/2020
GC_PS130Y1,26.01910044,-81.50999218,2/7/2020,7/23/2020,6/14/2020,6/17/2020
GC_PS131Y1,25.99773645,-81.50018144,2/7/2020,8/11/2020,6/12/2020,6/17/2020
GC_PS132Y1,26.03868841,-81.43746187,2/4/2020,6/28/2020,,
GC_PS137Y1,26.06777219,-81.49608022,1/28/2020,7/29/2020,4/1/2020,6/10/2020
GC_PS147Y1,26.09385684,-81.51076843,1/31/2020,8/14/2020,3/31/2020,6/7/2020
GC_PS14Y1,26.088122,-81.52751,3/18/2020,8/19/2020,3/21/2020,6/29/2020
GC_PS151Y1,26.05678587,-81.46467326,2/3/2020,7/25/2020,5/8/2020,6/6/2020
GC_PS156Y1,26.04984253,-81.45635355,2/4/2020,7/14/2020,5/11/2020,6/6/2020
GC_PS162Y1,26.11768451,-81.50955768,1/27/2020,8/16/2020,,
GC_PS178Y1,26.11783577,-81.45591835,2/7/2020,7/25/2020,4/20/2020,6/3/2020
GC_PS181Y1,26.12220275,-81.48967832,1/22/2020,8/10/2020,,
GC_PS184Y1,26.07578094,-81.48619271,1/31/2020,8/2/2020,,
GC_PS188Y1,26.12486662,-81.48382528,3/22/2020,4/4/2020,,
GC_PS18Y1,26.15019807,-81.50921297,2/2/2020,8/18/2020,,
GC_PS190Y1,26.08763439,-81.45562213,1/31/2020,8/2/2020,,
GC_PS192Y1,26.13711285,-81.43589091,2/26/2020,8/3/2020,,
GC_PS195Y1,26.07901489,-81.47867129,1/27/2020,7/31/2020,,
GC_PS197Y1,26.1058,-81.4876,1/22/2020,6/14/2020,4/11/2020,5/30/2020
GC_PS19Y1,26.00372,-81.48502,2/7/2020,8/7/2020,,
GC_PS201Y1,26.11990917,-81.46027488,2/3/2020,8/6/2020,4/15/2020,6/3/2020
GC_PS207Y1,26.11660833,-81.49320207,1/22/2020,8/14/2020,4/7/2020,7/1/2020
GC_PS208Y1,26.08381,-81.43793,2/27/2020,7/22/2020,5/23/2020,6/9/2020
GC_PS225Y1,26.10707103,-81.44115207,2/27/2020,7/13/2020,4/19/2020,6/9/2020
GC_PS26Y1,26.08662119,-81.54746107,1/22/2020,8/3/2020,3/19/2020,6/29/2020
GC_PS27Y1,26.11195049,-81.55738284,2/4/2020,8/11/2020,3/28/2020,6/21/2020
GC_PS28Y1,26.007275,-81.566536,2/4/2020,8/9/2020,5/5/2020,6/25/2020
GC_PS30Y1,26.01307738,-81.55674689,2/4/2020,8/9/2020,4/27/2020,7/25/2020
GC_PS31Y1,26.1479624,-81.52241452,1/21/2020,8/18/2020,,
GC_PS32Y1,26.10485789,-81.57023603,2/2/2020,6/24/2020,3/26/2020,6/21/2020
GC_PS35Y1,26.02709506,-81.56861566,1/31/2020,8/4/2020,5/21/2020,6/29/2020
GC_PS38Y1,26.106834,-81.527501,1/27/2020,8/23/2020,3/24/2020,7/3/2020
GC_PS51Y1,26.13172785,-81.5578223,1/28/2020,7/3/2020,4/10/2020,6/25/2020
GC_PS54Y1,26.011565,-81.468956,2/7/2020,8/7/2020,,
GC_PS56Y1,26.09421615,-81.53407513,2/11/2020,8/23/2020,3/31/2020,7/3/2020
GC_PS59Y1,26.079826,-81.550244,1/27/2020,7/2/2020,4/20/2020,6/29/2020
GC_PS70Y1,26.12863133,-81.525013,1/21/2020,7/13/2020,4/13/2020,6/28/2020
GC_PS86Y1,26.078335,-81.543291,1/27/2020,8/15/2020,,
GC_PS90Y1,26.00456162,-81.55075338,2/3/2020,6/21/2020,,
GC_PS93Y1,26.12869875,-81.55258772,1/21/2020,7/10/2020,4/1/2020,6/28/2020
GC_PS97Y1,26.02979741,-81.53737091,1/28/2020,8/11/2020,4/7/2020,6/29/2020
GC_PS99Y1,26.08495887,-81.56545891,1/28/2020,8/17/2020,,
GC_TT13Y1,25.969283,-81.555011,2/25/2020,8/20/2020,5/7/2020,7/2/2020
GC_TT3Y1,25.95899,-81.564958,2/25/2020,8/20/2020,5/11/2020,6/28/2020
HS_BM17Y1,26.0761232,-81.60571928,2/11/2020,6/16/2020,,
HS_BM44Y1,26.13727074,-81.60200121,2/6/2020,8/1/2020,,
HS_BM50Y1,26.006631,-81.584137,2/21/2020,8/16/2020,,
HS_BM58Y1,26.11420566,-81.6079121,2/6/2020,7/28/2020,,
HS_CS191Y1,25.98645371,-81.59335145,2/21/2020,6/23/2020,,
HS_FP62Y1,26.18255522,-81.4842522,2/12/2020,8/4/2020,,
HS_FP65Y1,26.16133993,-81.39380219,2/12/2020,8/4/2020,,
HS_FP77Y1,26.16925433,-81.44456659,2/12/2020,10/4/2020,,
HS_FS103Y1,26.10232814,-81.39656644,3/6/2020,10/2/2020,,
HS_FS105Y1,26.09805686,-81.42324871,3/3/2020,7/26/2020,,
HS_FS113Y1,25.96692754,-81.38464483,2/19/2020,6/17/2020,4/19/2020,6/2/2020
HS_FS136Y1,26.14661162,-81.425141,3/20/2020,8/3/2020,,
HS_FS140Y1,25.95898,-81.42368,3/5/2020,7/25/2020,,
HS_FS154Y1,25.977744,-81.456734,3/4/2020,7/21/2020,,
HS_FS172Y1,26.06699506,-81.39898033,3/6/2020,7/15/2020,,
HS_FS86Y1,26.01275901,-81.40441731,2/8/2020,9/18/2020,,
HS_FS99Y1,26.13456377,-81.3994535,2/26/2020,5/27/2020,,
HS_TT4Y1,25.96664538,-81.53509774,2/25/2020,8/20/2020,6/22/2020,6/27/2020
