"","Station","n"
"1","GC_BM29Y1",287
"2","GC_FP69Y1",32
"3","GC_FS142Y1",32
"4","GC_FS151Y1",287
"5","GC_FS181Y1",65
"6","GC_PS07Y1",13
"7","GC_PS127Y1",2
"8","GC_PS131Y1",179
"9","GC_PS132Y1",183
"10","GC_PS147Y1",9
"11","GC_PS156Y1",93
"12","GC_PS162Y1",161
"13","GC_PS181Y1",71
"14","GC_PS184Y1",6
"15","GC_PS18Y1",112
"16","GC_PS195Y1",82
"17","GC_PS201Y1",38
"18","GC_PS207Y1",8
"19","GC_PS208Y1",14
"20","GC_PS54Y1",103
"21","GC_PS86Y1",94
"22","GC_PS99Y1",51
"23","HS_PS139Y1",24
